Код в проекте;Device_ID Устройство;Идентификатор объекта;Имя объекта;Тип Объекта;Описание;Текущее значение 85;Флаги состояния 111;PropertyList-371 адрес регистра;PropertyList-371 Количество регистров для чтения;PropertyList-371 Функция для чтения регистра;PropertyList-371Функция для записи в регистр;PropertyList-371 Тип данных;PropertyList-371 Длина данных в битах;PropertyList-371 Бит регистра;PropertyList-371 Извлекаемые данные из массива/Номер слова;PropertyList-371 Коэфф. Преобразования(делитиь значение на него);Состояние события 36;Достоверность 103;Отключен 81;Единицы - 117;Макс. Значение - 65;Мин. Значение - 69;Высокий предел - 45;Низкий предел - 59;Класс уведомления - 17;"356.Задержка по времени (normal)
5";113.Задержка по времени (offnormal);Предел включения 52;"35.Уведомление разрешено
TO_OFFNORMAL, TO_FAULT, TO_NORMAL
[true,true,true]";Признаный переход - 0;Тип уведомления - 72;Отметки времени событий 130;Тексты сообщений о событиях 351;Имя профиля 168;Разрешение - 106;Logs - 133;Приращение COV - 22;Нечувствительность 25;Приоритетный массив - 87;Освободить по умолчанию - 104;Полярность - 84;Неактивный текст - 46;Активный текст - 4;Время COS - 16;Число COS - 15;Сброс числа состояний - 115;Затраченное активное время - 33;Сброс активного времени - 114;Активировать собитие-353;Сигнальное значение мультистейт - 7;Сигнальное значение - 6;Минимально выключенное время - 66;Минимальное включеное время - 67;Значение обратной связи - 40;Состояние текст 110;Число состояний 74;Тайм-аут APDU;Число повторов APDU;Конфигурация;Интервал обновления в сек.;Глобальная переменная;Шаблон;Подстановка;
1QF_21;1;253;Site:Engineering.Electricity.TP_1002.SECTION_1.1QF_21;;Автоматический выключатель1QF_21;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BI_360;1673;254;Site:Engineering.Electricity.TP_1002.SECTION_1.1QF_21.BI_360;3;Статус включен;;;102;1;0x03;;BOOL;1;8;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1QF21_ON;;;
BI_361;1673;255;Site:Engineering.Electricity.TP_1002.SECTION_1.1QF_21.BI_361;3;Статус выключен;;;102;1;0x03;;BOOL;1;9;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1QF21_OFF;;;
BI_362;1673;256;Site:Engineering.Electricity.TP_1002.SECTION_1.1QF_21.BI_362;3;Аварийное отключение;;;102;1;0x03;;BOOL;1;11;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1QF21_ALARM;;;
AI_360;1673;257;Site:Engineering.Electricity.TP_1002.SECTION_1.1QF_21.AI_360;0; Ток 1, А;;;203;1;0x03;;INT;16;;;1;;;;;;;;;;;;;;;;;;;;true;1;;;;;;;;;;;;;;;;;;;;;;;;1QF21_CURRENT_1;;;
AI_361;1673;258;Site:Engineering.Electricity.TP_1002.SECTION_1.1QF_21.AI_361;0; Ток 2, А;;;302;1;0x03;;INT;16;;;1;;;;;;;;;;;;;;;;;;;;true;1;;;;;;;;;;;;;;;;;;;;;;;;1QF21_CURRENT_2;;;
AI_362;1673;259;Site:Engineering.Electricity.TP_1002.SECTION_1.1QF_21.AI_362;0; Ток 3, А;;;402;1;0x03;;INT;16;;;1;;;;;;;;;;;;;;;;;;;;true;1;;;;;;;;;;;;;;;;;;;;;;;;1QF21_CURRENT_3;;;
1QF_22;1;260;Site:Engineering.Electricity.TP_1002.SECTION_1.1QF_22;;Автоматический выключатель1QF_22;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BI_370;1673;261;Site:Engineering.Electricity.TP_1002.SECTION_1.1QF_22.BI_370;3;Статус включен;;;102;1;0x03;;BOOL;1;8;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1QF22_ON;;;
BI_371;1673;262;Site:Engineering.Electricity.TP_1002.SECTION_1.1QF_22.BI_371;3;Статус выключен;;;102;1;0x03;;BOOL;1;9;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1QF22_OFF;;;
BI_372;1673;263;Site:Engineering.Electricity.TP_1002.SECTION_1.1QF_22.BI_372;3;Аварийное отключение;;;102;1;0x03;;BOOL;1;11;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1QF22_ALARM;;;
AI_370;1673;264;Site:Engineering.Electricity.TP_1002.SECTION_1.1QF_22.AI_370;0; Ток 1, А;;;203;1;0x03;;INT;16;;;1;;;;;;;;;;;;;;;;;;;;true;1;;;;;;;;;;;;;;;;;;;;;;;;1QF22_CURRENT_1;;;
AI_371;1673;265;Site:Engineering.Electricity.TP_1002.SECTION_1.1QF_22.AI_371;0; Ток 2, А;;;302;1;0x03;;INT;16;;;1;;;;;;;;;;;;;;;;;;;;true;1;;;;;;;;;;;;;;;;;;;;;;;;1QF22_CURRENT_2;;;
AI_372;1673;266;Site:Engineering.Electricity.TP_1002.SECTION_1.1QF_22.AI_372;0; Ток 3, А;;;402;1;0x03;;INT;16;;;1;;;;;;;;;;;;;;;;;;;;true;1;;;;;;;;;;;;;;;;;;;;;;;;1QF22_CURRENT_3;;;
1QF_23;1;267;Site:Engineering.Electricity.TP_1002.SECTION_1.1QF_23;;Автоматический выключатель1QF_23;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BI_380;1673;268;Site:Engineering.Electricity.TP_1002.SECTION_1.1QF_23.BI_380;3;Статус включен;;;102;1;0x03;;BOOL;1;8;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1QF23_ON;;;
BI_381;1673;269;Site:Engineering.Electricity.TP_1002.SECTION_1.1QF_23.BI_381;3;Статус выключен;;;102;1;0x03;;BOOL;1;9;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1QF23_OFF;;;
BI_382;1673;270;Site:Engineering.Electricity.TP_1002.SECTION_1.1QF_23.BI_382;3;Аварийное отключение;;;102;1;0x03;;BOOL;1;11;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1QF23_ALARM;;;
AI_380;1673;271;Site:Engineering.Electricity.TP_1002.SECTION_1.1QF_23.AI_380;0; Ток 1, А;;;203;1;0x03;;INT;16;;;1;;;;;;;;;;;;;;;;;;;;true;1;;;;;;;;;;;;;;;;;;;;;;;;1QF23_CURRENT_1;;;
AI_381;1673;272;Site:Engineering.Electricity.TP_1002.SECTION_1.1QF_23.AI_381;0; Ток 2, А;;;302;1;0x03;;INT;16;;;1;;;;;;;;;;;;;;;;;;;;true;1;;;;;;;;;;;;;;;;;;;;;;;;1QF23_CURRENT_2;;;
AI_382;1673;273;Site:Engineering.Electricity.TP_1002.SECTION_1.1QF_23.AI_382;0; Ток 3, А;;;402;1;0x03;;INT;16;;;1;;;;;;;;;;;;;;;;;;;;true;1;;;;;;;;;;;;;;;;;;;;;;;;1QF23_CURRENT_3;;;
1QF_24;1;274;Site:Engineering.Electricity.TP_1002.SECTION_1.1QF_24;;Автоматический выключатель1QF_24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BI_390;1673;275;Site:Engineering.Electricity.TP_1002.SECTION_1.1QF_24.BI_390;3;Статус включен;;;102;1;0x03;;BOOL;1;8;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1QF24_ON;;;
BI_391;1673;276;Site:Engineering.Electricity.TP_1002.SECTION_1.1QF_24.BI_391;3;Статус выключен;;;102;1;0x03;;BOOL;1;9;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1QF24_OFF;;;
BI_392;1673;277;Site:Engineering.Electricity.TP_1002.SECTION_1.1QF_24.BI_392;3;Аварийное отключение;;;102;1;0x03;;BOOL;1;11;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1QF24_ALARM;;;
AI_390;1673;278;Site:Engineering.Electricity.TP_1002.SECTION_1.1QF_24.AI_390;0; Ток 1, А;;;203;1;0x03;;INT;16;;;1;;;;;;;;;;;;;;;;;;;;true;1;;;;;;;;;;;;;;;;;;;;;;;;1QF24_CURRENT_1;;;
AI_391;1673;279;Site:Engineering.Electricity.TP_1002.SECTION_1.1QF_24.AI_391;0; Ток 2, А;;;302;1;0x03;;INT;16;;;1;;;;;;;;;;;;;;;;;;;;true;1;;;;;;;;;;;;;;;;;;;;;;;;1QF24_CURRENT_2;;;
AI_392;1673;280;Site:Engineering.Electricity.TP_1002.SECTION_1.1QF_24.AI_392;0; Ток 3, А;;;402;1;0x03;;INT;16;;;1;;;;;;;;;;;;;;;;;;;;true;1;;;;;;;;;;;;;;;;;;;;;;;;1QF24_CURRENT_3;;;
1QF_25;1;281;Site:Engineering.Electricity.TP_1002.SECTION_1.1QF_25;;Автоматический выключатель1QF_25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BI_400;1673;282;Site:Engineering.Electricity.TP_1002.SECTION_1.1QF_25.BI_400;3;Статус включен;;;102;1;0x03;;BOOL;1;8;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1QF25_ON;;;
BI_401;1673;283;Site:Engineering.Electricity.TP_1002.SECTION_1.1QF_25.BI_401;3;Статус выключен;;;102;1;0x03;;BOOL;1;9;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1QF25_OFF;;;
BI_402;1673;284;Site:Engineering.Electricity.TP_1002.SECTION_1.1QF_25.BI_402;3;Аварийное отключение;;;102;1;0x03;;BOOL;1;11;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1QF25_ALARM;;;
AI_400;1673;285;Site:Engineering.Electricity.TP_1002.SECTION_1.1QF_25.AI_400;0; Ток 1, А;;;203;1;0x03;;INT;16;;;1;;;;;;;;;;;;;;;;;;;;true;1;;;;;;;;;;;;;;;;;;;;;;;;1QF25_CURRENT_1;;;
AI_401;1673;286;Site:Engineering.Electricity.TP_1002.SECTION_1.1QF_25.AI_401;0; Ток 2, А;;;302;1;0x03;;INT;16;;;1;;;;;;;;;;;;;;;;;;;;true;1;;;;;;;;;;;;;;;;;;;;;;;;1QF25_CURRENT_2;;;
AI_402;1673;287;Site:Engineering.Electricity.TP_1002.SECTION_1.1QF_25.AI_402;0; Ток 3, А;;;402;1;0x03;;INT;16;;;1;;;;;;;;;;;;;;;;;;;;true;1;;;;;;;;;;;;;;;;;;;;;;;;1QF25_CURRENT_3;;;
1QF_26;1;288;Site:Engineering.Electricity.TP_1002.SECTION_1.1QF_26;;Автоматический выключатель1QF_26;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BI_410;1673;289;Site:Engineering.Electricity.TP_1002.SECTION_1.1QF_26.BI_410;3;Статус включен;;;102;1;0x03;;BOOL;1;8;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1QF26_ON;;;
BI_411;1673;290;Site:Engineering.Electricity.TP_1002.SECTION_1.1QF_26.BI_411;3;Статус выключен;;;102;1;0x03;;BOOL;1;9;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1QF26_OFF;;;
BI_412;1673;291;Site:Engineering.Electricity.TP_1002.SECTION_1.1QF_26.BI_412;3;Аварийное отключение;;;102;1;0x03;;BOOL;1;11;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1QF26_ALARM;;;
AI_410;1673;292;Site:Engineering.Electricity.TP_1002.SECTION_1.1QF_26.AI_410;0; Ток 1, А;;;203;1;0x03;;INT;16;;;1;;;;;;;;;;;;;;;;;;;;true;1;;;;;;;;;;;;;;;;;;;;;;;;1QF26_CURRENT_1;;;
AI_411;1673;293;Site:Engineering.Electricity.TP_1002.SECTION_1.1QF_26.AI_411;0; Ток 2, А;;;302;1;0x03;;INT;16;;;1;;;;;;;;;;;;;;;;;;;;true;1;;;;;;;;;;;;;;;;;;;;;;;;1QF26_CURRENT_2;;;
AI_412;1673;294;Site:Engineering.Electricity.TP_1002.SECTION_1.1QF_26.AI_412;0; Ток 3, А;;;402;1;0x03;;INT;16;;;1;;;;;;;;;;;;;;;;;;;;true;1;;;;;;;;;;;;;;;;;;;;;;;;1QF26_CURRENT_3;;;
SECTION_2;1;295;Site:Engineering.Electricity.TP_1002.SECTION_2;;Секция №2 (0.4kV);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;/svg/TP_SECTION_2.svg;;
2QF_1;1;296;Site:Engineering.Electricity.TP_1002.SECTION_2.2QF_1;;Автоматический выключатель2QF_1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BI_420;1673;297;Site:Engineering.Electricity.TP_1002.SECTION_2.2QF_1.BI_420;3;Статус включен;;;102;1;0x03;;BOOL;1;8;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2QF1_ON;;;
BI_421;1673;298;Site:Engineering.Electricity.TP_1002.SECTION_2.2QF_1.BI_421;3;Статус выключен;;;102;1;0x03;;BOOL;1;9;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2QF1_OFF;;;
BI_422;1673;299;Site:Engineering.Electricity.TP_1002.SECTION_2.2QF_1.BI_422;3;Аварийное отключение;;;102;1;0x03;;BOOL;1;11;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2QF1_ALARM;;;
AI_420;1673;300;Site:Engineering.Electricity.TP_1002.SECTION_2.2QF_1.AI_420;0; Ток 1, А;;;203;1;0x03;;INT;16;;;1;;;;;;;;;;;;;;;;;;;;true;1;;;;;;;;;;;;;;;;;;;;;;;;2QF1_CURRENT_1;;;
AI_421;1673;301;Site:Engineering.Electricity.TP_1002.SECTION_2.2QF_1.AI_421;0; Ток 2, А;;;302;1;0x03;;INT;16;;;1;;;;;;;;;;;;;;;;;;;;true;1;;;;;;;;;;;;;;;;;;;;;;;;2QF1_CURRENT_2;;;
AI_422;1673;302;Site:Engineering.Electricity.TP_1002.SECTION_2.2QF_1.AI_422;0; Ток 3, А;;;402;1;0x03;;INT;16;;;1;;;;;;;;;;;;;;;;;;;;true;1;;;;;;;;;;;;;;;;;;;;;;;;2QF1_CURRENT_3;;;
2QF_2;1;303;Site:Engineering.Electricity.TP_1002.SECTION_2.2QF_2;;Автоматический выключатель2QF_2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BI_430;1673;304;Site:Engineering.Electricity.TP_1002.SECTION_2.2QF_2.BI_430;3;Статус включен;;;102;1;0x03;;BOOL;1;8;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2QF2_ON;;;
BI_431;1673;305;Site:Engineering.Electricity.TP_1002.SECTION_2.2QF_2.BI_431;3;Статус выключен;;;102;1;0x03;;BOOL;1;9;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2QF2_OFF;;;
BI_432;1673;306;Site:Engineering.Electricity.TP_1002.SECTION_2.2QF_2.BI_432;3;Аварийное отключение;;;102;1;0x03;;BOOL;1;11;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2QF2_ALARM;;;
AI_430;1673;307;Site:Engineering.Electricity.TP_1002.SECTION_2.2QF_2.AI_430;0; Ток 1, А;;;203;1;0x03;;INT;16;;;1;;;;;;;;;;;;;;;;;;;;true;1;;;;;;;;;;;;;;;;;;;;;;;;2QF2_CURRENT_1;;;
AI_431;1673;308;Site:Engineering.Electricity.TP_1002.SECTION_2.2QF_2.AI_431;0; Ток 2, А;;;302;1;0x03;;INT;16;;;1;;;;;;;;;;;;;;;;;;;;true;1;;;;;;;;;;;;;;;;;;;;;;;;2QF2_CURRENT_2;;;
AI_432;1673;309;Site:Engineering.Electricity.TP_1002.SECTION_2.2QF_2.AI_432;0; Ток 3, А;;;402;1;0x03;;INT;16;;;1;;;;;;;;;;;;;;;;;;;;true;1;;;;;;;;;;;;;;;;;;;;;;;;2QF2_CURRENT_3;;;
2QF_3;1;310;Site:Engineering.Electricity.TP_1002.SECTION_2.2QF_3;;Автоматический выключатель2QF_3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BI_440;1673;311;Site:Engineering.Electricity.TP_1002.SECTION_2.2QF_3.BI_440;3;Статус включен;;;102;1;0x03;;BOOL;1;8;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2QF3_ON;;;
BI_441;1673;312;Site:Engineering.Electricity.TP_1002.SECTION_2.2QF_3.BI_441;3;Статус выключен;;;102;1;0x03;;BOOL;1;9;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2QF3_OFF;;;
BI_442;1673;313;Site:Engineering.Electricity.TP_1002.SECTION_2.2QF_3.BI_442;3;Аварийное отключение;;;102;1;0x03;;BOOL;1;11;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2QF3_ALARM;;;
AI_440;1673;314;Site:Engineering.Electricity.TP_1002.SECTION_2.2QF_3.AI_440;0; Ток 1, А;;;203;1;0x03;;INT;16;;;1;;;;;;;;;;;;;;;;;;;;true;1;;;;;;;;;;;;;;;;;;;;;;;;2QF3_CURRENT_1;;;
AI_441;1673;315;Site:Engineering.Electricity.TP_1002.SECTION_2.2QF_3.AI_441;0; Ток 2, А;;;302;1;0x03;;INT;16;;;1;;;;;;;;;;;;;;;;;;;;true;1;;;;;;;;;;;;;;;;;;;;;;;;2QF3_CURRENT_2;;;
AI_442;1673;316;Site:Engineering.Electricity.TP_1002.SECTION_2.2QF_3.AI_442;0; Ток 3, А;;;402;1;0x03;;INT;16;;;1;;;;;;;;;;;;;;;;;;;;true;1;;;;;;;;;;;;;;;;;;;;;;;;2QF3_CURRENT_3;;;
2QF_29;1;317;Site:Engineering.Electricity.TP_1002.SECTION_2.2QF_29;;Автоматический выключатель2QF_29;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BI_450;1673;318;Site:Engineering.Electricity.TP_1002.SECTION_2.2QF_29.BI_450;3;Статус включен;;;102;1;0x03;;BOOL;1;8;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2QF29_ON;;;
BI_451;1673;319;Site:Engineering.Electricity.TP_1002.SECTION_2.2QF_29.BI_451;3;Статус выключен;;;102;1;0x03;;BOOL;1;9;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2QF29_OFF;;;
BI_452;1673;320;Site:Engineering.Electricity.TP_1002.SECTION_2.2QF_29.BI_452;3;Аварийное отключение;;;102;1;0x03;;BOOL;1;11;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2QF29_ALARM;;;
AI_450;1673;321;Site:Engineering.Electricity.TP_1002.SECTION_2.2QF_29.AI_450;0; Ток 1, А;;;203;1;0x03;;INT;16;;;1;;;;;;;;;;;;;;;;;;;;true;1;;;;;;;;;;;;;;;;;;;;;;;;2QF29_CURRENT_1;;;
AI_451;1673;322;Site:Engineering.Electricity.TP_1002.SECTION_2.2QF_29.AI_451;0; Ток 2, А;;;302;1;0x03;;INT;16;;;1;;;;;;;;;;;;;;;;;;;;true;1;;;;;;;;;;;;;;;;;;;;;;;;2QF29_CURRENT_2;;;
AI_452;1673;323;Site:Engineering.Electricity.TP_1002.SECTION_2.2QF_29.AI_452;0; Ток 3, А;;;402;1;0x03;;INT;16;;;1;;;;;;;;;;;;;;;;;;;;true;1;;;;;;;;;;;;;;;;;;;;;;;;2QF29_CURRENT_3;;;
2QF_30;1;324;Site:Engineering.Electricity.TP_1002.SECTION_2.2QF_30;;Автоматический выключатель2QF_30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BI_460;1673;325;Site:Engineering.Electricity.TP_1002.SECTION_2.2QF_30.BI_460;3;Статус включен;;;102;1;0x03;;BOOL;1;8;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2QF30_ON;;;
BI_461;1673;326;Site:Engineering.Electricity.TP_1002.SECTION_2.2QF_30.BI_461;3;Статус выключен;;;102;1;0x03;;BOOL;1;9;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2QF30_OFF;;;
BI_462;1673;327;Site:Engineering.Electricity.TP_1002.SECTION_2.2QF_30.BI_462;3;Аварийное отключение;;;102;1;0x03;;BOOL;1;11;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2QF30_ALARM;;;
AI_460;1673;328;Site:Engineering.Electricity.TP_1002.SECTION_2.2QF_30.AI_460;0; Ток 1, А;;;203;1;0x03;;INT;16;;;1;;;;;;;;;;;;;;;;;;;;true;1;;;;;;;;;;;;;;;;;;;;;;;;2QF30_CURRENT_1;;;
AI_461;1673;329;Site:Engineering.Electricity.TP_1002.SECTION_2.2QF_30.AI_461;0; Ток 2, А;;;302;1;0x03;;INT;16;;;1;;;;;;;;;;;;;;;;;;;;true;1;;;;;;;;;;;;;;;;;;;;;;;;2QF30_CURRENT_2;;;
AI_462;1673;330;Site:Engineering.Electricity.TP_1002.SECTION_2.2QF_30.AI_462;0; Ток 3, А;;;402;1;0x03;;INT;16;;;1;;;;;;;;;;;;;;;;;;;;true;1;;;;;;;;;;;;;;;;;;;;;;;;2QF30_CURRENT_3;;;
2QF_4;1;331;Site:Engineering.Electricity.TP_1002.SECTION_2.2QF_4;;Автоматический выключатель2QF_4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BI_470;1673;332;Site:Engineering.Electricity.TP_1002.SECTION_2.2QF_4.BI_470;3;Статус включен;;;102;1;0x03;;BOOL;1;8;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2QF4_ON;;;
BI_471;1673;333;Site:Engineering.Electricity.TP_1002.SECTION_2.2QF_4.BI_471;3;Статус выключен;;;102;1;0x03;;BOOL;1;9;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2QF4_OFF;;;
BI_472;1673;334;Site:Engineering.Electricity.TP_1002.SECTION_2.2QF_4.BI_472;3;Аварийное отключение;;;102;1;0x03;;BOOL;1;11;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2QF4_ALARM;;;
AI_470;1673;335;Site:Engineering.Electricity.TP_1002.SECTION_2.2QF_4.AI_470;0; Ток 1, А;;;203;1;0x03;;INT;16;;;1;;;;;;;;;;;;;;;;;;;;true;1;;;;;;;;;;;;;;;;;;;;;;;;2QF4_CURRENT_1;;;
AI_471;1673;336;Site:Engineering.Electricity.TP_1002.SECTION_2.2QF_4.AI_471;0; Ток 2, А;;;302;1;0x03;;INT;16;;;1;;;;;;;;;;;;;;;;;;;;true;1;;;;;;;;;;;;;;;;;;;;;;;;2QF4_CURRENT_2;;;
AI_472;1673;337;Site:Engineering.Electricity.TP_1002.SECTION_2.2QF_4.AI_472;0; Ток 3, А;;;402;1;0x03;;INT;16;;;1;;;;;;;;;;;;;;;;;;;;true;1;;;;;;;;;;;;;;;;;;;;;;;;2QF4_CURRENT_3;;;
2QF_5;1;338;Site:Engineering.Electricity.TP_1002.SECTION_2.2QF_5;;Автоматический выключатель2QF_5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BI_480;1673;339;Site:Engineering.Electricity.TP_1002.SECTION_2.2QF_5.BI_480;3;Статус включен;;;102;1;0x03;;BOOL;1;8;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2QF5_ON;;;
BI_481;1673;340;Site:Engineering.Electricity.TP_1002.SECTION_2.2QF_5.BI_481;3;Статус выключен;;;102;1;0x03;;BOOL;1;9;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2QF5_OFF;;;
BI_482;1673;341;Site:Engineering.Electricity.TP_1002.SECTION_2.2QF_5.BI_482;3;Аварийное отключение;;;102;1;0x03;;BOOL;1;11;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2QF5_ALARM;;;
AI_480;1673;342;Site:Engineering.Electricity.TP_1002.SECTION_2.2QF_5.AI_480;0; Ток 1, А;;;203;1;0x03;;INT;16;;;1;;;;;;;;;;;;;;;;;;;;true;1;;;;;;;;;;;;;;;;;;;;;;;;2QF5_CURRENT_1;;;
AI_481;1673;343;Site:Engineering.Electricity.TP_1002.SECTION_2.2QF_5.AI_481;0; Ток 2, А;;;302;1;0x03;;INT;16;;;1;;;;;;;;;;;;;;;;;;;;true;1;;;;;;;;;;;;;;;;;;;;;;;;2QF5_CURRENT_2;;;
AI_482;1673;344;Site:Engineering.Electricity.TP_1002.SECTION_2.2QF_5.AI_482;0; Ток 3, А;;;402;1;0x03;;INT;16;;;1;;;;;;;;;;;;;;;;;;;;true;1;;;;;;;;;;;;;;;;;;;;;;;;2QF5_CURRENT_3;;;
2QF_6;1;345;Site:Engineering.Electricity.TP_1002.SECTION_2.2QF_6;;Автоматический выключатель2QF_6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BI_490;1673;346;Site:Engineering.Electricity.TP_1002.SECTION_2.2QF_6.BI_490;3;Статус включен;;;102;1;0x03;;BOOL;1;8;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2QF6_ON;;;
BI_491;1673;347;Site:Engineering.Electricity.TP_1002.SECTION_2.2QF_6.BI_491;3;Статус выключен;;;102;1;0x03;;BOOL;1;9;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2QF6_OFF;;;
BI_492;1673;348;Site:Engineering.Electricity.TP_1002.SECTION_2.2QF_6.BI_492;3;Аварийное отключение;;;102;1;0x03;;BOOL;1;11;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2QF6_ALARM;;;
AI_490;1673;349;Site:Engineering.Electricity.TP_1002.SECTION_2.2QF_6.AI_490;0; Ток 1, А;;;203;1;0x03;;INT;16;;;1;;;;;;;;;;;;;;;;;;;;true;1;;;;;;;;;;;;;;;;;;;;;;;;2QF6_CURRENT_1;;;
AI_491;1673;350;Site:Engineering.Electricity.TP_1002.SECTION_2.2QF_6.AI_491;0; Ток 2, А;;;302;1;0x03;;INT;16;;;1;;;;;;;;;;;;;;;;;;;;true;1;;;;;;;;;;;;;;;;;;;;;;;;2QF6_CURRENT_2;;;
